,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,department,salary
6035,0.83,0.8,4,149,3,0,0,management,low
5420,0.7,0.6,3,183,3,0,0,sales,low
7938,0.49,0.63,3,175,2,0,0,accounting,low
11923,0.83,0.8,3,240,8,0,0,sales,low
8233,0.14,0.51,5,259,5,0,0,product_mng,medium
3741,0.66,0.4,2,155,5,1,0,support,medium
7741,0.52,0.96,4,125,3,0,0,hr,low
12195,0.09,0.8,6,304,4,0,0,technical,low
9476,0.8,0.84,3,251,3,0,0,sales,medium
951,0.36,0.52,2,157,3,0,0,technical,low
4605,0.85,0.57,5,210,3,0,0,sales,low
3813,0.83,0.8,4,274,3,0,0,RandD,high
9853,0.74,0.85,3,176,3,0,0,management,medium
7532,0.62,0.56,4,267,4,0,0,support,medium
2556,0.63,0.91,4,246,3,0,0,technical,medium
4866,0.95,0.69,4,207,2,1,0,technical,low
11723,0.54,0.78,3,156,7,0,0,sales,medium
2675,0.87,0.9,4,214,3,0,0,technical,medium
7912,0.46,0.6,4,119,5,0,0,support,medium
8314,0.55,0.47,3,194,2,0,0,IT,high
1612,0.43,0.55,4,134,3,0,0,marketing,low
7312,0.51,0.78,3,155,2,0,0,management,low
4361,0.72,0.8,3,158,3,0,0,sales,medium
14615,0.76,0.87,5,245,5,0,0,sales,low
4257,0.85,0.86,4,250,3,0,0,technical,low
2451,0.77,0.71,4,223,3,0,0,sales,high
127,0.7,0.89,3,183,5,0,0,support,low
4226,0.95,0.64,3,262,3,0,0,sales,low
11774,0.64,0.6,3,265,4,0,0,sales,low
2555,0.56,0.94,3,226,2,0,0,technical,low
664,0.1,0.77,5,276,4,0,0,support,low
4411,0.19,0.52,5,200,5,0,0,technical,low
13984,0.93,0.5,5,272,3,0,0,sales,low
10035,0.51,0.72,3,242,3,0,0,technical,low
4736,0.83,0.91,3,168,3,0,1,technical,medium
12204,0.87,0.9,5,254,6,0,0,support,low
9494,0.77,0.51,2,254,5,0,0,accounting,medium
3382,0.83,0.95,3,211,2,0,0,sales,medium
12481,0.1,0.79,6,274,4,0,0,sales,low
14808,0.11,0.9,6,263,4,0,0,IT,low
14570,0.09,0.91,6,275,4,0,0,support,low
14369,0.39,0.5,2,136,3,0,0,management,low
5441,0.5,0.6,5,216,3,0,0,sales,medium
12750,0.38,0.49,2,145,3,0,0,IT,low
6063,0.99,0.77,3,190,4,0,0,hr,medium
12837,0.16,0.54,5,206,5,0,0,sales,medium
4799,0.37,0.74,2,197,3,0,0,product_mng,low
7854,0.3,0.39,3,193,3,1,0,IT,low
4268,0.96,0.9,3,161,3,0,0,product_mng,medium
11069,0.14,0.56,5,259,4,1,0,IT,low
11340,0.77,0.54,4,139,3,1,0,IT,low
6448,0.32,0.5,2,143,3,0,0,technical,high
2824,0.2,0.89,6,244,3,0,0,RandD,low
14483,0.81,0.93,5,270,5,0,0,technical,medium
11824,0.75,0.79,4,263,3,0,1,marketing,medium
1160,0.36,0.73,4,276,2,0,0,sales,medium
3204,0.61,0.97,3,148,3,0,0,RandD,low
1486,0.11,0.97,6,260,4,0,0,technical,low
2937,0.91,0.7,4,196,2,0,0,technical,low
6170,0.7,0.72,4,202,3,0,0,IT,medium
2561,0.78,0.84,3,269,2,0,0,technical,medium
2899,0.97,0.61,3,165,2,0,0,RandD,low
5562,0.86,0.68,2,192,3,0,0,product_mng,high
893,0.85,0.85,5,267,5,0,0,support,medium
14494,0.1,0.93,6,289,4,1,0,support,low
5371,0.83,0.57,2,246,5,1,0,accounting,low
9003,0.59,1.0,4,275,3,0,0,RandD,medium
355,0.41,0.57,2,136,3,0,0,support,low
4889,0.57,0.68,4,154,3,1,0,management,medium
14929,0.1,0.83,7,302,5,0,0,IT,medium
5637,0.49,0.48,2,186,2,0,0,IT,medium
10936,0.78,0.6,4,143,2,0,1,sales,medium
8176,0.74,0.69,4,244,2,0,0,sales,low
10004,0.75,0.63,3,148,4,0,0,technical,medium
7489,0.49,0.91,3,227,3,0,0,sales,medium
11753,0.5,0.73,3,154,10,0,0,IT,medium
9526,0.45,0.87,2,268,4,1,0,IT,low
6807,0.96,0.99,4,233,3,0,0,sales,low
13345,0.75,0.85,3,250,6,0,0,technical,medium
2689,0.59,0.71,2,176,2,1,0,sales,medium
6120,0.14,0.52,4,122,2,0,0,sales,high
11556,0.56,0.79,5,248,3,0,0,sales,medium
12241,0.37,0.46,2,156,3,0,0,sales,low
6587,0.75,0.72,5,260,3,0,0,sales,low
14702,0.39,0.51,2,151,3,0,0,hr,medium
10231,0.58,0.89,3,256,2,0,0,support,medium
1133,0.91,0.94,5,218,6,0,0,product_mng,low
11724,0.73,0.48,3,211,7,0,0,sales,medium
11912,0.91,0.82,2,241,3,0,0,sales,medium
12856,0.78,0.52,5,192,3,1,0,technical,low
9368,0.32,0.74,3,211,3,0,0,technical,low
675,0.43,0.57,2,127,3,0,0,IT,low
652,0.09,0.77,6,290,4,0,0,technical,medium
138,0.74,1.0,4,249,5,0,0,IT,low
13585,0.98,0.89,4,218,2,0,0,sales,medium
14681,0.1,0.85,6,260,4,0,0,sales,low
6250,0.49,0.94,5,136,3,0,0,product_mng,medium
9074,0.89,0.81,3,186,3,0,0,product_mng,medium
10068,0.87,0.66,3,270,2,0,0,product_mng,low
12560,0.09,0.86,6,279,4,0,0,sales,low
7110,0.99,0.48,5,202,2,0,0,sales,medium
5942,0.84,0.9,3,230,3,0,0,IT,medium
8119,0.18,0.64,6,154,5,0,0,accounting,medium
573,0.36,0.47,2,148,3,0,0,technical,medium
1842,0.38,0.51,2,159,3,0,0,sales,low
3784,0.8,0.57,3,225,4,0,0,support,low
12394,0.42,0.56,2,133,3,0,0,sales,low
27,0.4,0.49,2,135,3,0,0,sales,low
9507,0.53,0.58,4,134,2,0,0,technical,low
2975,0.95,0.61,3,267,2,0,0,RandD,low
14404,0.09,0.82,6,249,4,0,0,technical,medium
4147,0.82,0.88,4,149,2,0,0,sales,low
7930,0.81,0.51,3,162,2,0,0,IT,medium
2392,0.19,0.98,5,226,4,1,0,accounting,low
9124,0.28,0.46,5,277,6,0,0,technical,medium
7050,0.68,0.84,3,209,3,0,0,sales,high
169,0.45,0.57,2,158,3,0,0,sales,low
12808,0.79,0.44,2,236,3,0,0,IT,medium
1899,0.4,0.49,2,143,3,0,0,product_mng,medium
8921,0.72,0.45,4,143,6,0,0,product_mng,medium
11370,0.21,0.43,5,175,2,1,0,sales,high
3660,0.88,0.59,6,243,4,0,0,RandD,high
11133,0.62,0.84,3,270,6,0,0,hr,medium
1475,0.44,0.47,2,156,3,1,0,sales,medium
5869,0.72,0.94,3,258,3,0,0,product_mng,medium
9426,0.51,0.58,2,218,2,1,0,technical,low
2009,0.74,0.64,4,268,3,0,0,sales,low
10061,0.96,0.95,6,215,4,0,0,IT,low
5613,1.0,0.54,3,151,2,1,0,technical,low
6432,0.25,0.67,2,136,6,0,0,sales,medium
1955,0.09,0.81,6,257,4,0,0,support,low
4991,0.79,0.82,3,98,3,1,0,hr,low
11443,0.58,0.8,4,113,3,0,0,IT,medium
13553,0.59,0.64,5,123,2,0,0,product_mng,low
6930,0.58,0.78,3,223,3,0,0,management,low
11932,0.82,0.84,3,194,3,0,0,product_mng,low
159,0.45,0.45,2,132,3,0,0,marketing,low
3398,0.64,0.5,3,238,4,0,0,technical,low
12815,0.8,0.67,3,236,3,1,0,RandD,low
11247,0.4,0.89,2,165,3,0,0,IT,medium
12047,0.57,0.7,3,273,6,0,0,support,low
12352,0.91,0.91,4,262,6,0,0,support,low
10997,0.51,0.58,4,140,2,1,0,product_mng,low
13987,0.76,0.56,3,179,3,1,0,sales,low
3874,0.67,0.57,2,234,4,0,0,management,low
1968,0.84,0.91,5,232,6,0,0,management,low
1710,0.11,0.97,6,254,4,0,0,accounting,high
7868,0.33,0.72,2,173,2,0,0,marketing,low
14468,0.42,0.54,2,156,3,0,0,sales,medium
7551,0.95,0.49,3,158,2,0,0,RandD,low
13419,0.93,0.73,4,283,7,0,0,sales,high
4209,0.96,0.5,3,158,2,1,0,sales,medium
4672,0.58,0.72,4,259,3,0,0,sales,medium
6640,0.32,0.75,3,255,4,0,0,sales,medium
6146,0.35,0.59,3,281,2,0,0,technical,medium
2132,0.76,0.83,3,186,2,1,0,RandD,medium
14747,0.11,0.85,6,305,4,0,0,accounting,medium
890,0.43,0.57,2,131,3,1,0,support,medium
2735,0.66,0.86,5,185,3,0,0,IT,low
814,0.1,0.92,7,253,4,1,0,support,low
76,0.1,0.83,6,295,4,0,0,product_mng,medium
12317,0.37,0.46,2,153,3,0,0,sales,low
9916,0.6,0.59,3,237,4,1,0,product_mng,low
5859,0.7,0.79,6,257,4,0,0,technical,medium
8619,0.58,0.74,4,180,3,0,0,product_mng,high
13082,0.58,0.48,3,135,3,1,0,hr,medium
2108,0.74,0.76,5,104,4,0,0,support,low
13040,0.53,0.51,3,274,2,1,0,product_mng,medium
9465,0.96,0.78,3,135,3,0,0,sales,medium
4661,0.59,0.99,3,235,2,0,0,management,medium
253,0.87,0.98,4,248,5,0,0,sales,low
11476,0.5,0.53,3,142,3,1,0,product_mng,medium
2573,0.67,0.71,3,190,3,1,0,support,medium
2360,0.19,0.63,4,142,6,0,0,RandD,low
1095,0.1,0.77,7,308,4,0,0,accounting,low
8326,0.6,0.69,6,250,5,1,0,management,low
8059,0.84,0.73,5,105,5,0,0,support,low
13993,0.84,0.78,4,263,3,0,0,IT,low
2962,0.99,0.84,5,138,2,0,0,IT,medium
2806,0.59,0.62,3,178,4,0,0,technical,medium
11281,0.87,0.88,4,140,8,0,0,marketing,medium
4993,0.92,0.62,4,266,2,0,0,hr,low
8270,0.38,0.42,2,127,4,0,0,sales,medium
1188,0.09,0.8,5,279,4,0,0,technical,low
5327,0.65,0.52,4,266,3,1,0,IT,medium
10945,0.24,0.42,5,210,5,0,0,accounting,low
14060,0.2,0.7,4,225,5,0,0,support,low
10635,0.21,0.71,4,270,2,0,0,sales,high
12100,0.38,0.52,2,154,3,0,0,sales,medium
2779,0.51,0.81,3,143,2,0,0,hr,low
2701,0.59,0.75,3,106,2,0,0,accounting,low
4056,0.45,0.72,3,148,2,0,0,sales,low
4940,0.99,0.71,4,232,3,0,0,support,medium
10462,0.97,0.89,3,264,3,0,0,marketing,low
4265,0.74,0.37,6,200,3,0,0,product_mng,low
10749,0.96,0.7,3,207,3,0,0,IT,high
8653,0.41,0.5,3,193,3,0,0,sales,medium
8752,0.86,0.64,4,137,2,0,0,support,medium
11540,0.44,0.41,3,125,7,0,0,sales,medium
5661,0.45,0.55,3,151,3,0,0,sales,medium
11149,0.28,0.44,4,170,2,0,0,support,low
4134,1.0,0.97,3,216,3,1,0,sales,low
14479,0.38,0.56,2,156,3,0,0,technical,low
3181,0.65,0.7,4,157,4,0,0,support,medium
12242,0.38,0.53,2,156,3,0,0,sales,low
8560,0.64,0.78,5,156,5,1,0,sales,low
8102,0.71,0.93,2,199,2,0,0,sales,low
1179,0.45,0.46,2,146,3,0,0,technical,low
2454,0.72,0.79,3,149,3,0,0,sales,medium
4139,0.92,0.69,4,180,3,0,0,sales,low
12793,0.62,0.5,4,156,2,0,0,support,medium
5434,0.61,0.51,4,242,3,0,0,sales,medium
12564,0.41,0.53,2,157,3,0,0,accounting,low
11203,0.48,0.71,2,162,3,1,0,sales,high
5298,0.21,0.85,5,153,3,0,0,hr,low
14869,0.38,0.53,2,146,3,0,0,support,low
9499,0.5,0.95,3,166,4,1,0,technical,low
4801,0.17,0.91,4,260,5,0,0,product_mng,low
1643,0.09,0.83,6,295,5,0,0,technical,low
1112,0.09,0.82,6,251,4,0,0,support,low
6770,0.55,0.91,3,179,3,1,0,support,low
4962,0.89,0.55,4,196,2,0,0,accounting,medium
4806,0.6,0.56,4,138,3,0,0,RandD,low
5908,0.35,0.57,3,109,3,0,0,accounting,medium
9406,0.88,0.58,4,215,2,0,0,sales,low
12792,0.75,0.94,5,217,2,0,0,support,medium
8811,0.88,0.75,5,152,3,0,0,hr,high
10876,0.53,0.81,3,275,2,0,0,technical,low
6808,0.72,0.99,4,156,2,1,0,sales,low
13980,0.73,0.72,4,233,2,0,0,sales,low
13850,0.7,0.84,3,260,4,1,0,support,medium
1361,0.75,0.89,5,272,5,0,0,IT,medium
11484,0.78,0.65,3,139,3,0,0,marketing,high
2012,0.48,0.94,5,255,6,0,0,accounting,medium
8796,0.96,0.9,4,201,3,0,0,sales,low
13646,0.54,0.52,4,173,2,0,0,marketing,medium
9588,0.82,0.74,3,256,3,1,0,support,medium
5560,0.56,0.85,5,245,3,0,0,IT,high
10261,0.76,0.73,4,148,2,1,0,hr,low
5973,0.87,0.74,4,151,4,0,0,sales,medium
13276,0.43,0.96,3,109,6,0,0,technical,low
3755,0.95,0.71,3,223,2,0,0,sales,low
5186,0.78,0.93,3,200,3,0,0,RandD,low
4869,0.71,0.54,4,198,3,0,0,IT,low
13333,1.0,0.77,5,269,3,0,0,sales,low
11542,0.86,0.57,3,162,7,0,0,sales,medium
1052,0.37,0.48,2,129,3,0,0,IT,medium
6764,0.86,0.53,3,163,3,0,0,support,medium
1292,0.41,0.52,2,132,3,0,0,RandD,low
13551,0.77,0.54,4,139,3,1,0,IT,low
4759,0.65,0.65,4,224,3,0,0,sales,low
13169,0.88,0.72,5,244,2,0,0,technical,low
7239,0.83,0.99,4,184,3,0,0,IT,low
2163,1.0,0.49,3,185,2,0,0,sales,low
11022,0.96,0.89,3,142,4,0,0,sales,medium
8180,0.7,0.67,5,136,3,0,0,sales,medium
6859,0.54,0.73,4,266,3,0,0,product_mng,low
12433,0.87,0.84,4,264,6,0,0,support,low
3069,0.98,0.57,3,198,3,0,0,sales,medium
1119,0.44,0.5,2,138,3,0,0,support,medium
9185,0.72,0.83,4,181,3,0,0,sales,low
7098,0.21,0.6,5,151,6,0,0,RandD,medium
934,0.1,0.91,6,285,4,0,0,sales,medium
3004,0.42,0.89,6,188,5,1,0,sales,low
12880,0.72,0.7,4,172,3,0,0,IT,medium
106,0.91,1.0,4,257,5,0,0,accounting,medium
3396,0.58,0.91,3,223,2,0,0,technical,low
14402,0.92,0.87,4,226,6,1,0,technical,medium
5290,0.59,0.94,4,136,2,0,0,sales,medium
6365,0.63,0.72,2,161,5,0,0,hr,medium
2841,0.13,0.69,4,127,4,0,0,sales,high
8710,0.71,0.8,2,146,4,0,0,marketing,low
13387,0.65,1.0,4,229,4,0,0,product_mng,low
2809,0.5,0.91,3,212,2,0,0,IT,low
4580,0.78,0.98,4,157,3,0,0,marketing,medium
9474,0.73,0.99,3,160,3,0,0,sales,medium
1707,0.43,0.51,2,131,3,0,0,sales,medium
4230,0.77,0.79,3,200,4,0,0,hr,medium
7526,1.0,0.56,3,182,3,0,0,support,medium
9145,0.72,0.97,3,239,3,0,0,IT,low
13727,0.71,0.97,5,208,8,1,0,management,medium
5233,0.48,0.68,4,163,2,1,0,technical,low
12466,0.37,0.48,2,134,3,0,0,marketing,medium
6923,0.67,0.73,4,251,3,0,0,support,high
7588,0.53,0.55,5,224,2,1,0,hr,low
3269,0.66,0.93,5,185,3,0,0,IT,medium
9258,0.73,0.49,3,248,3,0,0,sales,low
11763,0.59,0.92,3,138,10,0,0,support,low
1156,0.4,0.51,2,156,3,0,0,sales,medium
3237,0.97,0.86,5,135,3,0,0,hr,high
11145,0.56,0.94,3,154,3,1,0,support,low
6122,0.45,0.45,4,168,2,0,0,sales,low
4596,0.66,0.66,3,211,4,0,0,sales,high
40,0.87,0.88,5,269,5,0,0,technical,low
2003,0.78,0.82,5,247,3,0,0,sales,low
2665,0.96,0.84,3,264,3,0,0,RandD,low
13628,0.16,0.46,6,240,2,0,0,product_mng,low
7503,0.98,0.96,4,253,3,0,0,sales,low
9676,0.75,0.49,4,208,4,0,0,technical,low
10217,0.54,0.59,4,202,3,0,0,IT,low
9357,0.83,0.8,4,150,3,0,0,support,low
9977,0.91,0.59,3,266,2,0,0,support,medium
13922,0.82,0.9,3,215,4,0,0,management,high
12656,0.79,0.86,5,235,5,0,0,support,medium
5059,0.51,0.72,4,163,4,0,1,sales,medium
9009,0.86,0.85,2,195,4,0,0,support,medium
4429,0.76,0.57,5,139,4,0,0,sales,medium
3175,0.75,0.96,3,252,3,0,0,technical,medium
13313,0.96,0.82,4,244,3,0,0,support,high
13389,0.61,0.96,3,214,2,0,0,IT,medium
9886,0.68,0.5,4,166,4,1,0,technical,medium
10715,0.64,0.49,3,241,3,0,0,hr,medium
13771,0.2,0.6,5,261,8,0,0,sales,medium
4330,0.67,0.6,4,210,3,0,0,support,low
6592,0.82,0.52,5,225,2,0,0,accounting,high
12220,0.1,0.84,6,286,4,0,0,product_mng,low
5275,0.93,0.88,4,261,4,0,0,sales,medium
1523,0.42,0.48,2,148,3,1,0,RandD,low
3193,0.49,0.58,5,186,2,0,0,IT,high
8701,0.78,0.68,4,174,3,1,0,RandD,low
9194,0.7,0.77,4,266,2,0,0,technical,low
7269,0.97,0.84,3,223,3,0,0,sales,low
6664,0.56,0.51,4,140,2,0,0,sales,low
4059,0.61,0.51,3,141,2,0,0,sales,low
13533,0.57,0.88,4,140,2,0,0,support,medium
9811,0.84,0.62,5,245,4,0,0,technical,medium
6178,0.87,0.89,3,140,2,1,0,RandD,low
9790,0.72,0.78,3,229,2,0,0,sales,medium
7279,0.46,0.41,6,148,4,0,0,sales,low
1790,0.44,0.55,2,156,3,0,0,hr,medium
9691,0.66,0.75,4,235,3,0,0,RandD,medium
5346,0.55,0.66,3,164,2,0,0,technical,low
9540,0.71,0.55,4,273,3,1,0,RandD,medium
683,0.86,0.98,3,158,5,0,0,sales,low
4886,0.73,0.63,4,174,3,0,0,accounting,low
9649,0.47,0.65,4,172,2,0,0,hr,low
12458,0.41,0.48,2,136,3,0,0,marketing,medium
7691,0.67,0.52,2,152,5,0,0,technical,medium
7611,0.77,0.43,4,265,6,0,0,support,high
5216,0.45,0.64,5,133,4,0,0,accounting,medium
8388,0.59,0.79,3,217,4,0,0,product_mng,medium
1319,0.4,0.52,2,143,3,0,0,sales,medium
5278,0.73,0.6,4,224,3,0,0,sales,medium
2010,0.56,0.58,4,258,3,0,0,sales,medium
5117,0.79,0.56,5,250,2,1,1,management,medium
14049,0.43,0.88,2,149,4,0,0,product_mng,medium
6083,0.19,0.76,3,107,5,0,0,support,low
2339,0.14,0.51,5,173,4,0,0,support,medium
5019,0.88,0.72,2,144,4,1,0,technical,low
12287,0.11,0.79,6,292,4,0,1,technical,low
4706,0.83,0.87,3,156,3,0,0,support,medium
11512,0.59,0.92,3,203,10,0,0,support,medium
13498,0.97,0.41,5,135,6,0,0,sales,medium
14998,0.37,0.52,2,158,3,0,0,support,low
12346,0.81,1.0,4,253,5,0,0,technical,low
6456,0.52,0.85,5,173,2,0,0,support,high
13022,0.97,0.93,5,137,2,1,0,support,low
3235,0.84,0.74,4,226,2,0,0,accounting,high
10126,0.93,0.71,4,272,2,0,0,support,medium
2039,0.52,0.88,3,179,2,1,0,support,low
8141,0.61,0.7,5,157,4,0,0,support,low
10457,0.52,0.98,4,165,2,0,0,sales,low
10636,0.83,0.71,3,234,4,0,0,accounting,high
12981,0.72,0.61,3,175,3,0,0,sales,high
12654,0.1,0.89,7,308,4,0,0,technical,medium
1002,0.42,0.5,2,141,3,0,0,sales,medium
991,0.76,0.91,4,219,5,0,0,sales,low
5460,0.56,0.75,2,264,2,0,0,technical,low
6071,0.64,0.85,3,213,4,0,0,technical,medium
9489,0.93,0.89,3,262,2,0,0,sales,low
3561,0.95,0.4,5,286,4,0,0,support,low
4430,0.51,0.58,4,272,3,0,0,accounting,medium
14345,0.36,0.5,2,132,3,0,0,technical,low
6811,0.32,0.45,2,188,3,0,0,sales,low
8534,0.51,0.5,4,216,2,1,0,management,medium
